UM,REPORT
handling heavy/sharp object/material,"At 7:30 a.m. on February 21, 2017, the employee made several cuts to a tree with a chain saw and then walked behind a trackhoe that was to push the tree trunk over.  The employee was struck by a tree limb that fell as the tree was pushed over.  The employee received lacerations to the forehead, abrasions to the face, fractures to the ribs, and abrasions to the fingers. "
entangled work space,"At approximately 7:15 a.m. on February 21, 2017, an employee was walking toward her vehicle. The employee tripped on the section of raised concrete in the walkway. 	She fractured her left leg femur for which she was hospitalized. "
heavy vehicle,"At 6:08 p.m. on February 21, 2017 an employee was walking from the employee parking lot to the office building and was struck by a company bus driven by a coworker. The employee sustained brain injuries and the employee was killed. "
heavy vehicle,"At 6:30 p.m. on February 21, 2017, a mechanic was walking out a when a bus drove out of the wash facility, struck and killed the mechanic. "
working at height,"At approximately 4:35 p.m. on February 21, 2017, Employee #1 was attempting to spread a plastic tarp over a pile of almond hulls and shells. He fell from the auger, approximately 30 feet, into the pile of almond shells and hulls. Employee #1 was hospitalized with a fractured left arm, pelvis, and ribs. "
heavy vehicle,"At 2:20 p.m. on February 21, 2017, an employee was driving a tanker truck to a disposal yard. The employee lost control of the tanker truck going up a steep hill on a private road which rolled over. The employee sustained numerous cuts as the tanker truck rolled over the employee and was killed. "
working at height,"At 2:30 p.m. on February 21, 2017, an employee was installing shingles on a roof when he fell. The employee sustained two broken ribs, and he was hospitalized for treatment. "
others,"At 1:09 p.m. on February 21, 2017 an employee was working underneath a minivan that was raised on a jack. The minivan fell on the employee. The employee sustained compressional asphyxia and was killed. "
heavy vehicle,"At approximately 1:00 p.m. on February 21, 2017, Employee #1 was fixing a leaking hydraulic cylinder on a Hyster forklift.  The forklift shifted and struck Employee #1 fracturing his neck, collarbone, shoulder, arm, and ribs. Employee #1 was hospitalized. "
others,"At 2:30 p.m. on February 20, 2017, an employee was unstrapping a load of 18 steel pipes (pilings) to unload at a road construction project located at US Highway 169 and Bren Rd in Minnetonka. There were three rows of pipes stacked on the trailer; the bottom and middle rows had seven 12' diameter by 60' long pipes each, and the top row had four 12' diameter by 60' long pipes, for a total of 18 pipes.  Each pipe weighed 2,500 lbs.  The employee released the front strap, and when he released the center strap, which was the last strap holding the load, one pipe from the top row fell off the driver's side of the trailer, crushing the employee.  The employee was pronounced dead at a local hospital from chest and head injuries. and head injuries."
machinery and equipment,"At approximately 11:15 a.m. on February 20, 2017, an employee was trimming willow stock to specific size. The employee was cutting with a pneumatic cutters. His finger was caught by the cutters and his fingertip was amputated. The employee was not hospitalized. "
machinery and equipment,"At approximately 11:30 p.m. on February 20, 2017, an employee was working in the fabrication area of the shop and was directly involved in the operation. The employee was operating a Wysong press brake, bending a small metal piece called a post, measuring approximately 3 in. by 15 in. The piece fell back into the machine and the employee disconnected his restraints to retrieve the piece. The press brake came down on his fingers. The employee sustained the amputation to the middle three fingers on his left hand for which he was hospitalized. "
working at height,"At approximately 9:00 a.m. on February 20, 2017, an employee was placing caulk on the top plate of a wall for a modular home component. The employee was reaching to caulk the top plate, when he slipped, and fell to the ground in the area between the catwalk and setback on the modular home. The employee suffered a punctured lung and fractured ribs, collar bone and a toe injury. The employee was hospitalized and treated for his injuries. "
working at height,"At 9:15 a.m. on February 20, 2017, an employee was installing an HVAC system when he fell 20 feet through an opening in a roof. The employee was hospitalized, where he was treated for multiple injuries. "
working at height,"At 8:40 a.m. on February 20, 2017, an employee was servicing a furnace that was located in the attic of a private residence. As the employee descended a 17 foot vertical extension ladder that provided him access to the attic, the ladder slid on the floor below that had just been waxed. The employee fell from around the third or fourth run off the ladder and fractured his left ankle. He was hospitalized for treatment. "
working at height,"At approximately 7:00 am on February 20, 2017, an employee was working alone while they lowered boards (approx. 8 foot long by 6 inches wide pieces of oriented strand board) down from the woodshop mezzanine area to a lower level, so they could be cut into shorter boards to be used as pallet deck boards. Fall protection was not offered, provided, or worn by employees while they receive materials at the unprotected edge of the woodshop areas elevated mezzanine. The employee was working alone at the time of the fall event, but the task of receiving materials at the unprotected woodshop mezzanine edge and cutting oriented strand board in the woodshop area was performed on a variable basis, from a couple times daily up to once per month. A removable guardrail section was not installed and the employee fell through the unprotected opening at the edge of an elevated mezzanine in the woodshop area. The employee suffered laceration and hematoma on skin, and contusion on eye and on hip. The employee was hospitalized for two days as a result of injuries that occurred during the fall event. "
machinery and equipment,"At approximately 7:30 p.m. on February 20, 2017, an employee was working on an AP test machine. The employee reached for the part by placing her fingers on a dual digit sensor. It came down and amputated her fingertip. The employee was hospitalized and treated for her injuries.	 "
machinery and equipment,"At approximately 6:30 p.m. on February 20, 2017, an employee was adjusting the batter flow for the weight. The employee used a section of cardboard to hold the weight wheel in place because the locking bolt did not hold the weight wheel. The piston and other parts of the machine came down and amputated the tip of the employee's finger. The employee was not hospitalized. "
working at height,"At approximately 4:45 p.m. on February 20, 2017, an employee was standing on a ladder. He fell and fractured his lumbar discs. The employee was hospitalized and treated for his injuries. "
heavy vehicle,"At 4:00 p.m. on February 20, 2017, an employee was driving a motorized pallet jack when he crashed into a a scissor lift that was parked in the area. The employee sustained a broken leg from the crash, which he was hospitalized for treatment. "
machinery and equipment,"At approximately 4:30 p.m. on February 20, 2017, an employee was ripping lengths of oak on a table saw. The employee's left hand contacted an unguarded saw blade resulting in amputation of two fingers. The employee was hospitalized and treated for his injuries. "
machinery and equipment,"At approximately 2:30 p.m. on February 20, 2017, an employee, Rolling Operator/Machinist II, was running the Grief Buffer machine. Model PBAK-2; Year 1982; Serial Number 917848, in the Ball Screw Rolling Department, buffer cell.  The employee was buffing a large screw 2502 ball screw. The part began to vibrate inside the point of operation. The employee then accessed the point of operation area to sweep the surface of the bar and reduce the vibration of the part. The employee's glove was inadvertently caught between the buffing wheel and screw stock, pulling the employee's hand into the grinding/buffing wheel. As a result, the employees hand was partially crushed causing the loss of the pinky finger and serious injury to ring finger. The employee was taken via ambulance to the hospital, where he was hospitalized and treated for his injuries. ospital, where he was hospitalized and treated for his injuries."
machinery and equipment,"At approximately 11:00 p.m. on February 19, 2017, an employee was picking up plastic bottles fallen from conveyor belt. The employee by-passed a plexiglass guard to pick up a plastic bottle that had fallen off of the track.  While placing the bottle back on to the track, the employee got the first digit of his left ring finger caught in the in-running nip point and was amputated. The employee was hospitalized and treated for his injuries. The conveyor belt and pulley belonged to the Bottle Unscrambler Machine, Model Number AU-6C and Serial Number 3656. "
machinery and equipment,"At approximately 11:30 p.m. on February 19, 2017, an employee was retrieving a part off a conveyor system when she caught her middle finger tip in the pinch point between the conveyor and metal chute. The employee was hospitalized and treated for a middle finger amputation. "
others,"At approximately 10:15 a.m. on February 19, 2017, an employee was walking on ice to the edge of open water during an ice water training class. The employee fell into the open water when the ice gave way, fracturing her right ankle. The employee was not hospitalized. "
working at height,"At 6:45 p.m. on February 19, 2017, an employee was working from a ladder to install an elevated walkway when he fell and sustained a broken wrist, fractured ribs, and a bruised lung. The employee was hospitalized for treatment of his injuries. The incident investigation revealed that the employee's harness was not connected to its anchor at the time of the incident. "
machinery and equipment,"At 5:30 p.m. on February 19, 2017, Employee #1 was using a manual fed electric power table saw to make rip cuts to hardwood floorboards, which were being installed at a private residence. A total of four employees were onsite, including Employee #1. As the three coworkers were located inside the residence installing the floors, Employee #1 remained in the backyard of the residence where the saw was located.  As Employee #1 was cutting the flooring, his left hand contacted the table saw blade and amputated his left thumb, index, and middle fingers, as well as caused nerve damage to his ring finger on the same hand.  Employee #1 was hospitalized and underwent surgery to reattach his thumb and middle finger. "
preexisting medical condition,"At 3:30 a.m. on February 19, 2017, an employee was bringing a floor scrubber into a filling area. The employee was found unconscious and the employee was killed. "
others,"At approximately 11:00 a.m. on February 18, 2017, an employee was at doorway greeting entering customer. She lost balance and fell. The employee suffered fractured hip for which she was hospitalized. "
exposure to extreme temperature,"At approximately 10:00 a.m. on February 18, 2017, an employee was working in the freezer at temperature as low as minus 10 degrees.  The employee was handling cold products and hands and finger were frost burn. The employee was hospitalized with the frost burns to his finger. "
working at height,"At 10:30 a.m. on February 18, 2017, three employees were assisting in the restoration of a movie theater.  The employees were working to install three speakers, weighing approximately 150.5 pounds, on a newly constructed lower level ceiling platform of the theater. The upper level ceiling platform was adjacent to a stairwell with concrete floor beneath.  The distance measured from the upper ceiling platform to the concrete floor was approximately 18 feet and approximately 13 feet from the ceilings lower platform. The ceiling was held in place by 9 studs made of 25-gauge metal that were spaced 2 feet apart on center. The employees were instructed to transport the three speakers form the upper ceiling platform to the lower platform for installation.  As Employee #2 worked from the upper level platform, handing the speakers to Employee #1, who was standing on a ladder that was resting on the lower level ceiling platform, one of the speakers crashed through the ceiling. Employee #2 fell through the ceiling platform and struck the concrete floor at the bottom of the stairwell with one of the speakers landing on him.  Employee #3, who was standing beneath the lower platform holding Employee #1's extension ladder, was struck by the ceiling.  Both Employees #2 and #3 were hospitalized and treated for their injuries that included a torn ligament on one of Employee #3's feet. Employee #2 was not injured. The incident investigation revealed that tap gun screws that were intended to be installed to further secure the ceiling to the building's masonry block wall were not installed prior to the speaker installation. This led to an unstable work surface and collapse of the lower ceiling platform. "
heavy vehicle,"At approximately 5:30 a.m. on February 18, 2017, an employee was walking through the plant when he was struck by a Kawasaki front end loader.	The employee suffered multiple fractures to his lower extremities, damage to internal organs, and he was hospitalized. "
working at height,"At approximately 5:45 p.m. on February 18, 2017, an employee was retrieving boxes from the second level of a storage rack in the warehouse.  He was not utilizing fall protection.  The employee fell from the second level of the storage rack.  The employee suffered fractures of the facial bones, a ruptured spleen, a laceration over his left eye, and loss of vision in that eye, to date. He was hospitalized and treated for his injuries. "
others,"At 4:15 p.m. on February 18, 2017, an employee was conducting a storm water check inspection using an all terrain vehicle. The employee was found by a coworker under the all terrain vehicle and the employee was killed. "
others,"At approximately 1:30 a.m. on February 18, 2017, an employee was hosing down a conveyor belt with water. The employee lost his balance in a crouched position and fell forward toward the conveyor belt. The employees hand and arm were caught in conveyor belt. The employee suffered fracture radius, ulnar and humerous bones of his right arm and was hospitalized. "
others,"At approximately 1:30 a.m. on February 18, 2017, an employee was hosing down a conveyor belt system. The employee lost balance from a crouched position and fell toward the conveyor belt. The employees gloved hand was caught in the conveyor belt and broke the right arms radius, ulnar, and humerous bones. The employee was hospitalized and treated for his injuries. "
exposure to electric source,"At 12:15 a.m. on February 17, 2017, an employee was working from a ladder to install a light fixture when he received an electric shock and fell. He sustained multiple injuries that included a burned hand, and lower back and right heel fractures, which he was hospitalized for treatment. "
others,"At approximately 12:30 p.m. on February 17, 2017, an employee was changing a die for a different part to be manufactured. One part of the die was slide in and had a collar on it as the other part of the die was suspended above the collar by a crane. The employee was using his left finger to check to make sure the collar was even all the way around.  The employees right hand activated the controls for the crane by accident and lowers the other part of the die onto the left index finger causing a partial amputation. The employee was not hospitalized. "
heavy vehicle,"At approximately 12:30 p.m. on February 17, 2017, an employee was operating a hoist while integrating a draft link to a tractor. The employee's fingers were caught in a pinch point while attempting to reorient a link ball without securing suspended load. The employees left ring finger was amputated and the left middle finger was lacerated. The employee was hospitalized and the left ring finger was reattached. "
working at height,"On February 17, 2017, an employee was unloading automobiles from a car hauler trailer. The employee was standing on the top level nearest the truck tractor when he miss-stepped and fell off the side of the trailer falling approximately 8 feet, landing on the pavement. The employee suffered a fractured foot and left shoulder, damage to tendons in the left knee, dislocation of the left shoulder and possible neck injury. The employee was hospitalized and treated for his injuries. "
machinery and equipment,"At approximately 11:15 a.m. on February 17, 2017, an employee and a supervisor/owner were setting the apparatus on the press. The stainless steel shaft was pressed down into the aluminum to form the can.  The shaft was not going into the aluminum block, the pressure (2,000 psi) was held on the shaft for a few seconds when the shaft shattered. When the stainless steel shaft shattered the employee was struck on the abdomen by a piece of the shaft.  The employee had a piece of stainless steel shaft which became lodged in his abdomen. The employee was hospitalized and treated for his injuries.	 "
heavy vehicle,"At 11:30 a.m. on February 17, 2017, an employee was operating a Bomag construction roller compacting new crush and run gravel on a range road. While going around a turn, the employee accelerated and drove up an embankment. The equipment turned over and trapped the employee under the roll over protection structure. The employee sustained a fractured hip and injuries to internal organs. The employee was killed. "
machinery and equipment,"At approximately 11:00 a.m. on February 17, 2017, an employee was going to remove a bleeder valve from the skid. When the employee removed the plug high pressure exceeding 1,100 psi, shot out and caused the employee to be blown back. The employee sustained injuries to his leg (puncture), a broken left arm, and skull fracture to both sides of his face. The employee was hospitalized and treated for his injuries.	 "
others,"At 11:15 a.m. on February 17, 2017, an employee was felling a tree.  The employee was swept out of the tree and struck a log and the employee was killed. "
handling heavy/sharp object/material,"At approximately 10:00 a.m. on February 17, 2017, an employee was using a vacuum lifting device to lift stone slabs from the machine table. The vacuum lifting device came loose from stone slab and pinched the employee's finger between machine table. The employee suffered distal pad amputation of right middle finger without bone loss. The employee was not hospitalized. "
heavy vehicle,"At approximately 9:00 a.m. on February 17, 2017, an employee was attempting to drive a JLG Lull (PIV) onto a low boy trailer. JLG Lull went off trailer and rolled over to the ground. The employee's head struck against the forklift and suffered laceration to the head. The employee later died from blood clots.	 "
machinery and equipment,"At approximately 9:45 a.m. on February 17, 2017, an employee was inserting a heavy metal cylinder that was supported by a hoist, into the chuck of a lathe. The employee was tightening the chuck with a wrench.  The employee had not disengaged the spindle from its motor and the lathe's power switch was still turned to the on position.  The employee accidentally dropped the wrench which fell and hit the start lever for the spindle.  The spindle began to turn and threw the heavy metal cylinder into the employee's abdomen causing contusion and strain injuries. The employee was hospitalized and treated for his injuries. "
working at height,"At 9:38 a.m. on February 17, 2017, an employee was handing blocks to employees that were working inside the elevator shaft. As he was standing on a fully planked steel beam platform that was approximately 11 feet above the ground and handing the blocks to his coworkers, a piece of wood, measuring 2 inches by 4 inches kicked out and struck the employee. He fell to the ground and sustained a broken arm,and he was hospitalized. "
working at height,"At approximately 9:00 p.m. on February 17, 2017, an employee was standing on five feet high surface of lavatory waste, servicing a truck while raising drain hose to aircraft fitting.  The employee lost balance and fell over the side of the truck that had no guard rails. The employee suffered head contusions, four fractured ribs and fractured thumb, for which he was hospitalized.	 "
entangled work space,"At 8:30 a.m. on February 17, 2017, an employee was replacing an expansion joint inside a permit-required confined space. The employee fell from a sloped surface into the moving/rotating preheater basket. The employee was struck by the rotating horizontal fan and was killed. "
working at height,"On February 17, 2017, an employee and a coworker climbed an approximately 35 foot fixed ladder with siran wrap and cutting devices so as to access the roof of the warehouse and cover the base of the roof's skylights to prevent water from leaking into the warehouse. They started to cover the bases of the skylights together but after a time while still working on the roof both workers went their separate ways. The employee was in close proximity to a skylight on the eastern portion of the roof. He came in contact with the protective cover of the skylight, breaking through the skylight's cover and fell approximately 35 feet to the warehouses concrete floor.  The employee suffered injuries to his head and back. Coworkers attempted to comfort the employee and called the emergency services. Long beach Fire and Paramedics responded transported the employee to the Long Beach Memorial Hospital. The employee passed away in the hospital emergency room. "
others,"At approximately 7:00 a.m. on February 17, 2017, an employee was called to job site to check on a tree that had fallen onto a maintenance shop. The employee happened to park exactly where another tree fell as he arrived at the maintenance shop. The second tree crushed the cab of the truck exactly where he was sitting in the driver's seat. The employee was crushed and killed inside of the cab of the truck. "
working at height,"At 7:15 a.m. on February 17, 2017, an employee fell from a second story window, sustaining a broken pelvis. The employee was hospitalized for treatment of his jury. Further investigation as to the cause of the incident revealed that a guardrail blocking the opening of the window the employee fell from had failed. "
machinery and equipment,"At approximately 7:36 a.m. on February 17, 2017, an employee crushed his thumb while working with a press brake. The employee was hospitalized and treated for fractured thumb.	 "
machinery and equipment,"At approximately 7:00 a.m. on February 17, 2017, an employee plugged in the conveyor unit and turned on the power. It was getting a test run before putting the guards in place to make sure all the rollers were in line and the tension was correct on the chains and sprockets. The employee noticed that one of the chains tension was loose and put his finger on the chain to check. When the employee checked the tension of the chain with his finger it was pulled into the sprocket resulting in a fingertip amputation. The employee was hospitalized and treated for his injuries "
exposure to electric source,"At 5:15 a.m. on February 17, 2017, an employee was standing nearby an energized line.  The employee touched the energized line and was electrocuted. "
others,"At 5:16 a.m. on February 17, 2017, and employee was working alone to repair Elevator #17.  The elevator carriage crushed the employee. "
machinery and equipment,"At approximately 4:30 p.m. on February 17, 2017, an employee was performing supervisory duties while the mechanics and operator were settings the Paper Converter Machine, Rewinder Machine. The employee accidentally put his right hands finger at the guide rollers while the mechanic moved it manually in order to detect a fail with the transfer process.  The employees right hand finger was caught in a pinch point between two guide paper rollers of the rewinder machine and was amputated. The employee was hospitalized and treated for his injuries. "
machinery and equipment,"At approximately 2:30 a.m. on February 17, 2017, an employee was removing product from  a hydraulic press. When reaching into the point of operation to remove the product (rubber car mat), one of the die plates smashed the employee's fingers. The employees finger was amputated but he was not hospitalized. "
machinery and equipment,"At approximately 1:00 p.m. on February 17, 2017, an employee was gluing cabinet doors in a pinch machine. The employees left index finger was amputated by rollers. The employee was hospitalized and treated for his injuries.	 "
heavy vehicle,"At approximately 1:30 p.m. on February 17, 2017, an employee was operating Kubota Tractor Model Number MB8540) with attached brush trimmer. The Kubota tractor ran over employee resulting in broken nose, laceration to left eye and left side of his face. The employee was hospitalized and treated for his injuries.	 "
working at height,"At approximately 12:45 p.m. on February 16, 2017, an employee was installing wiring for a power extension. He fell through the skylight and struck concrete approximately 30 feet below. The employee suffered multiple fractures and contusions. He was hospitalized and treated for his injuries. "
heavy vehicle,"At approximately 11:28 a.m. on February 16, 2017, an employee was performing his duties as a spotter/ inspector and was walking behind a Kawasaki front end Loader, Serial Number VG7N38 that was loading trash into trailers that were parked in the middle of the recycling yard. The loader operator scooped a load of trash and began to back and turn the loader toward the dump trailer. The operator was unaware of the employee's presence which was behind and to the right of Kawasaki loader. The employee was knocked to the ground, ran over and then crushed to death by the right rear tire of the Kawasaki Front end loader. "
others,"At 11:45 a.m. on February 16, 2017, an employee was topping a tree using a chain saw.  The employee was pulled into the tree by his lanyard when the tree split.  The employee was hospitalized and treated for his injuries. "
working at height,"At approximately 10:00 p.m. on February 16, 2017, an employee was working from a 4 foot tall ladder while resetting a door. He lost his balance, fell backward, and hit his head. He suffered from strained back and lacerated elbow. Initially the employee was released back to work on light duty. However, over the weekend of February 17 - 19, the employer was informed that the employee had been admitted to the hospital related to the incident. He was believed to have a subdural hematoma and was in intensive care unit. "
exposure to harmful substance,"At 9:00 a.m. on February 16, 2017, an employee was turning a master valve on a gas wellhead when it exploded and threw the employee a distance away.  The employees pants caught on fire during the wellhead explosion and suffered third degree burns to both legs. The employee was hospitalized and treated for his injuries. "
exposure to harmful substance,"At 9:00 a.m. on February 16, 2017, an employee was assisting in the maintenance of plant equipment.The employee suffered a respiratory illness when chlorine dioxide vapors were released. dioxide vapors were released."
heavy vehicle,"At approximately 9:00 p.m. on February 16, 2017, an employee was operating a stand-up forklift moving pallets of product from one area to another. He was operating the stand-up forklift with his foot hanging off the edge of the equipment.  While operating the stand-up forklift in the reverse position, the employee backed into a parked forklift, crushing his foot in between the two forklifts. The employee suffered a fractured left foot and was hospitalized. "
exposure to harmful substance,"At 9:00 a.m. on February 16, 2017, an employee was closing the cover of a washer when a small cloud of chlorine dioxide was released.  The employee inhaled some of the vapor.  The employee began coughing and experienced shortness of breath.  The employee and thirteen other employees were taken to a local hospital and evaluated for exposure to chlorine dioxide vapors. "
exposure to harmful substance,"At 9:45 a.m. on February 16, 2017, three employees were changing out a TMI bubbler in an enclosed cabinet of an OE Reactor.  Employee #1 reached in to turn off a valve that he thought may be partially open when an explosion had occurred.  Employee #1 suffered a laceration to his artery on the right wrist and hand, a broken right middle finger, a deep laceration to right leg, loss of skin to leg, and approximately six burns to left arm.  Employee #2 suffered from ears ringing.  Employee #3 fractured their left index finger, lacerated their arm, and had ringing in their ears. "
working at height,"At 9:30 a.m. on February 16, 2017, an employee was working on a ladder jack scaffold platform located greater than 7 1/2 feet above ground.  The employee fell and struck his head on the ground and was killed due to traumatic head injuries. "
exposure to harmful substance,"At 8:00 am on February 16, 2017, three employees were working in the upper area of the Parkrose Hardware Store.  All three employees intermittently experienced symptoms of dizziness, burning noses, and headaches.  The same symptoms occurred the next day as well and they closed the office and turned off the heating system.  The business replaced the heat exchanger as a precautionary measure and reopened the office.  No further symptoms or problems have been experienced and normal work has resumed in the office loft. One of the employees went to the hospital and was found to have elevated levels of carbon monoxide in her blood. "
others,"At 7:30 a.m. on February 16, 2017, three employees were working at a jobsite when a windstorm erupted. One employee, who was exiting a portable restroom, was struck by a flying piece of plywood and sustained a concussion. A second employee, who also sustained a concussion, was struck by a 4 foot by 4 foot square piece of roofing insulation. A third employee, who was struck by a 3/8 inch piece of plywood that measured approximately 69 inches by 43 inches, also suffered a concussion.  However, only one of the three employees was hospitalized. "
machinery and equipment,"At 7:00 a.m. on February 16, 2017, an employee was pulling a plastic sheet, guiding it through an extruder.  The employee's right hand got caught in the running nip point of the extrusion winder and scraped his right middle fingertip.  The employee was not hospitalized. "
handling heavy/sharp object/material,"At approximately 6:30 p.m. on February 16, 2017, an employee was inserting a drum pump into the bung hole of a drum. The employee contacted the end of the drum pump with the drum causing his right hand to slide down the drum pump. The employee contacted the exposed impeller that was still running with his right pinkie finger, causing a fingertip amputation. "
preexisting medical condition,"At approximately 5:00 a.m. on February 16, 2017, an employee was found unresponsive next to his work vehicle. Cardiopulmonary resuscitation was performed and he was transported to Memorial hospital in Yakima.  Due to the type of injury, the employee was airlifted to Harborview, where he died the following day. This incident was not been reported by the employer. "
working at height,"At approximately 5:00 p.m. on February 16, 2017, an employee was dismantling a carport for removal and installation at another location. The employee fell over 12 feet to the concrete floor, injuring his head and neck. The employee was killed.	 "
others,"At approximately 4:00 p.m. on February 16, 2017, an employee was leaning against the door with the hand on the frame. The employee closed the door without removing his hand from the door frame. The employee's pinky finger got pinned in the door's frame and it shut causing the amputation. The employee was hospitalized and treated for his injuries. "
others,"At approximately 3:24 p.m. on February 16, 2016, an employee and two coworkers were engaged in cutting down a tree. The tree fell and landed on the employee, crushing and killing him. "
entangled work space,"At approximately 3:05 p.m. on February 16, 2017, an employee was walking across the floor. The employees foot got caught in a hole in the floor and he tripped and fell onto his shoulder on the concrete flooring. He suffered from broken bone in shoulder. The employee was hospitalized and treated for his injuries. "
entangled work space,"At approximately 3:45 p.m. on February 16, 2017, an employee was  chasing birds  from under netting. The employee was walking to next point in overshoes (rain), he tripped and fell to the ground fracturing his leg. It had been raining in the morning yet was not raining when the employee fell. The soil was wet.	 "
machinery and equipment,"At approximately 2:00 p.m. on February 16, 2017, an employee was cutting wooden panels with a table saw machine. The employee placed her right hand under the blade to remove debris when the saw was still running. 	She suffered partial amputation of her right index finger. The employee was hospitalized and treated for her injuries. "
machinery and equipment,"At approximately 2:30 p.m. on February 16, 2017, an employee was repairing a broken sheet of plastic at Extrusion line 1 when the employee fell. He reached out his left arm, and the arm was caught in between two rollers at the pull roll section of the line.   The pull roll section was not adequately guarded, which resulted in the employee's hospitalization with crushing injuries. "
preexisting medical condition,"At approximately 2:00 p.m. on February 16, 2017, an employee was checking inventory in the back of a freezer truck. The employee suffered a heart attack unrelated to his job and died of natural causes. "
machinery and equipment,"At approximately 2:00 p.m. on February 16, 2017, an employee was feeding paper under the lower web or glue rollers of a Harlan Laminator. The employee's hair became entangled in the moving glue rollers while feeding paper under them to prepare for set up of the next job.  The employee suffered serious injury to her head such as hair removal off the top of her head. She was hospitalized and treated for her injuries.	 "
working at height,"At approximately 1:00 p.m. on February 16, 2017, an employee was walking within the grass and shrubs to repair water valves for the buildings. The employee slipped off the 10-inch wide retaining wall and fell 10 feet to the parking lot below. The employee suffered a broken hip, requiring surgery. The employee was hospitalized and treated for his injuries. "
handling heavy/sharp object/material,"At 1:20 a.m. on February 16, 2017, an employee was moving some roll stock from a skid to a roll cart.  The paper roll weighed 1,100 lbs and measured 18 inches wide, had a 6 inch core and 50.5 inch diameter.  The employee's lower body was pinned to the ground when the roll rolled off of the pallet. The employee suffered a fracture to his lower right leg and was hospitalized. "
handling heavy/sharp object/material,"At approximately 11:50 a.m. on February 15, 2017, an employee was replacing a transmission temperature sending unit on the forklift that was located in the warehouse in the loading dock area.  The employee was using a hydraulic floor jack that had a capacity of five tons, to raise the Yale Veracitor 50VX propane powered forklift, gross weight of 10,510 pounds, in the air so he could get underneath to do the part replacement. The forklift fell, crushing and killing the employee. "
others,"At 12:15 a.m. on February 15, 2017, an employee was running the potato peeler. The employee burned his ankle when the hot water overflowed and splashed the employee.  The employee was not hospitalized. "
others,"At approximately 10:00 a.m. on February 16, 2017, a tree trimming crew of five employees were removing tree debris and damage that was caused months prior during a hurricane. The skid steer operator was approximately 75 feet away removing tree debris from the area to the roadside. Coworker #1 was approximately 27 feet away climbing a tree to begin cutting, and Coworker #2 was approximately 10 feet in the air working out of the bucket truck cutting down a tree branch from a live oak that was partially hanging and partially caught in a brush of bamboo. The site foreman and an employee were standing back watching coworkers climbing the tree. The employee was being trained on how to climb trees.  After a phone call, the employee grabbed the STIHL MS461 chainsaw that was sitting on the ground next to him and began walking around the small waist high brush that was in front of him. As Coworker #1 was walking and drop starting the chain saw, the employee kept walking around the brush directly towards the skid steer operator's direction. The employee was walking toward the skid steer operator and passed underneath the area where Coworker #2 was working inside the bucket at approximately 10 feet in the air. Coworker #2 had just finished trimming the branches connected to the hanging branch from most of 17 feet long branch. The branch swung towards the employee and broke off and came crashing to the ground. The branch bounced up and struck the employee with the bottom side of the branch directly in the face and chest.  The branch crushed facial bones and the sternum of the employee. The employee suffered from blunt force trauma and later died at the hospital. 	 "
preexisting medical condition,"At 12:30 p.m. on February 15, 2017, an employee was taking his lunch break and began to feel numbness and pressure on his chest.  No further details were provided in the initial accident report to detail the extent of injuries or the result thereof.  The employee was hospitalized. "
entangled work space,"At 11:00 a.m. on February 15, 2017, an employee walked to the bathroom to empty the equipment that was being used to vacuum water/stripper from the floor.  The employee slipped on the wet floor where some stripper had oozed under the door.  The employee suffered a broken hip and needed surgery to repair it.  The employee was hospitalized and treated for his injuries. "
heavy vehicle,"At 11:30 a.m. on February 15, 2017, and employee was operating a Crown electric standup-/rider pallet truck, Model Number PR3020-60, Serial Number A219967, to move a pallet located in Warehouse Aisle 4/5.  The employee backed up too far and contacted the shelving unit Rack 5, Bay 5J1.  The employee's body was crushed between the guard of the pallet truck and the steel shelf. The guard of the pallet truck extended vertically 49.25 inches.  The horizontal shelf was located 54.25 inches above the floor.  The height difference allowed the pallet truck to slide under the shelf, pinning the employee between the pallet truck and the shelf.  The employee sustained injuries that included two broken ribs and a lacerated liver and was hospitalized. "
machinery and equipment,"At 11:00 a.m. on February 15, 2017, an employee was making a cut on a side railing on a table saw that was set up with dado blades. The employee placed his left hand above the railing and began to push it through the dado blades. The employee partially amputated one of his fingers from his left hand and lacerated the top surface of several fingers. The employee was hospitalized and treated for his injuries. "
others,"At 9:35 a.m. on February 15, 2017, an employee was assisting in the installation of concrete piping. As he was holding a 4 inch by 4 inch piece of wood against the concrete pipe, an excavator come into contact with the piping and the employee's right hand.  His right index finger was amputated, which he was hospitalized for treatment. "
handling heavy/sharp object/material,"At 9:45 a.m. on February 15, 2017, an employee was cutting plastic wrap from double stack pallets and became pinned between two pallets.  The employee suffered bruised ribs and was hospitalized.  No additional information was available in the initial accident report. "
working at height,"At approximately 9:15 a.m.  on February 15, 2017, an employee was standing on an extension ladder and was trimming a large, dense hedge.  The top of the ladder was set against the side of the hedge and supported by the dense branches of the hedge.  A coworker was steadying the ladder and, as the employee moved to the other side, the ladder twisted and fell approximately 10 feet.  The employee suffered a fractured left wrist as a result of the fall and was admitted to UCSD Medical Center.  The employee was discharged on February 17, 2017. "
